frame_id,num_total_objects,avg_confidence,min_confidence,scene_diversity_score,total_object_area_ratio,max_box_area,num_large_objects,num_vehicles,num_vrus,log_vehicle_to_vru_ratio,is_vru_present,num_anomalous_static,is_anomalous_static_object_present,num_objects_in_center_lane,avg_y_center_of_vehicles
frame_00921,11.0,0.6294780346480283,0.3526821732521057,4.0,0.4174272603892032,0.2248822485297195,1.0,7.0,3.0,1.2039725709926532,1.0,0.0,0.0,3.0,0.5700820514133998
frame_00922,9.0,0.6527430481380887,0.2950267493724823,4.0,0.44103281614147427,0.22448069025119466,1.0,6.0,2.0,1.3862939861200079,1.0,0.0,0.0,2.0,0.58636674284935
frame_00923,6.0,0.7978979349136353,0.5617226958274841,2.0,0.43103885998721087,0.22407539441451707,1.0,6.0,0.0,15.607270193858982,0.0,0.0,0.0,2.0,0.5921917756398519
frame_00924,7.0,0.7307833986622947,0.2518967092037201,3.0,0.4195469668096632,0.22481971060650352,1.0,6.0,0.0,15.607270193858982,0.0,0.0,0.0,2.0,0.5897346436977386
frame_00925,7.0,0.7540744755949292,0.3849548399448395,3.0,0.39282419278399083,0.22535823892429363,1.0,6.0,0.0,15.607270193858982,0.0,0.0,0.0,2.0,0.59413014849027
frame_00926,6.0,0.7579570810000101,0.5671972036361694,3.0,0.3467582598787653,0.22529031376915754,1.0,5.0,0.0,15.424948670398354,0.0,0.0,0.0,2.0,0.5687232851982117
frame_00927,7.0,0.6653014719486237,0.2537757456302643,3.0,0.3898522511142709,0.22554033178982547,1.0,6.0,0.0,15.607270193858982,0.0,0.0,0.0,3.0,0.5680851538976034
frame_00928,7.0,0.7019698236669812,0.3751051723957062,3.0,0.409448720531708,0.22425381945300504,1.0,6.0,0.0,15.607270193858982,0.0,0.0,0.0,2.0,0.5737897058327993
frame_00929,8.0,0.6782507747411728,0.4096224904060364,4.0,0.44253997111730425,0.22405624460498075,1.0,7.0,0.0,15.76142084987672,0.0,0.0,0.0,2.0,0.572501037802015
frame_00930,7.0,0.7244435208184379,0.35698914527893066,3.0,0.4391032074628419,0.22419362373042873,1.0,6.0,0.0,15.607270193858982,0.0,0.0,0.0,2.0,0.5889383653799692
