frame_id,anomaly_score
frame_00086,-0.032284169550117314
frame_01003,-0.03231100003112258
frame_01357,-0.03243152967146934
frame_01188,-0.03243416660210263
frame_00703,-0.03252143519886014
frame_01221,-0.03252420194502331
frame_01202,-0.03276783804038885
frame_00886,-0.0327855585392246
frame_00500,-0.03283396223768009
frame_01355,-0.03296881712863775
frame_00379,-0.032986790162300994
frame_01870,-0.03311802620495102
frame_01216,-0.033170145355626734
frame_01457,-0.033240051292970973
frame_00735,-0.03336803600671251
frame_00135,-0.03338090938593147
frame_01435,-0.033680148295571255
frame_01362,-0.03368768004298295
frame_01279,-0.03374255083156663
frame_00306,-0.033751728674705384
frame_01330,-0.03403203758903506
frame_01746,-0.03408112587952916
frame_01225,-0.03410702749546013
frame_01963,-0.03418290358360332
frame_00082,-0.03421398551044591
frame_01264,-0.03430160382651648
frame_00530,-0.034410283241623985
frame_00605,-0.03443911032047903
frame_01359,-0.034566701328402116
frame_01741,-0.03466003431600867
frame_00702,-0.034690322188282885
frame_00430,-0.034701569600756765
frame_01414,-0.03472670136722339
frame_01352,-0.03473964778493166
frame_00884,-0.03493459328917953
frame_00565,-0.03504293426756139
frame_01743,-0.03506379012328359
frame_00413,-0.03506963545715325
frame_00377,-0.035193584273585765
frame_00473,-0.03522356747198069
frame_01358,-0.035226087479485746
frame_01360,-0.035306275935282405
frame_00036,-0.035410764563765074
frame_00708,-0.03557944464058799
frame_01498,-0.03559652472297303
frame_00385,-0.03568180485019712
frame_01967,-0.0357238779504947
frame_01869,-0.03573089941434626
frame_00051,-0.035846851710622574
frame_00543,-0.03590060750932067
frame_01876,-0.0359153586200297
frame_01226,-0.036047808280255667
frame_00136,-0.036079919915794734
frame_01784,-0.03634333923871674
frame_01883,-0.03638122717003456
frame_01292,-0.03643538559215903
frame_00987,-0.036446263472886264
frame_01633,-0.03645086976382722
frame_01200,-0.03646689525156954
frame_01801,-0.03655464425746824
frame_02044,-0.036579676421565344
frame_00433,-0.036612355780954564
frame_01408,-0.03670087043279441
frame_01265,-0.0367055421943005
frame_00380,-0.036723315864841066
frame_01779,-0.03678618280495016
frame_01675,-0.03684471975842174
frame_00881,-0.036962752863336557
frame_01937,-0.03697732983715479
frame_00393,-0.03700269883285279
frame_00737,-0.03706757987955861
frame_00382,-0.03706902967398107
frame_01269,-0.03712257966493743
frame_01488,-0.037132362379462824
frame_00093,-0.037166254109128605
frame_01268,-0.03717167776121988
frame_01974,-0.037350354031940314
frame_00462,-0.0373857468180786
frame_01931,-0.03742636061097332
frame_00319,-0.03747436551214017
frame_01793,-0.03763461541036456
frame_01731,-0.03768565028167509
frame_00383,-0.03770386458677272
